"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\IReview.d.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\IUser.d.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\environment.d.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\express\index.d.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Utils\connectDB.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Utils\createJWT.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 3, 26
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Utils\index.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Utils\proximityColor.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Utils\randomBtwFromInterval.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\app.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 17, 9, 98
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 0, 24
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\.eslintrc.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\index.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 2, 34
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\package-lock.json", "JSON", 0, 4364, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4365
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 7, 3, 40
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\InputNumber.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 1, 7, 90
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\MainFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 1, 3, 121
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\MainHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 3, 97
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\Options.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\Pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\PersonalInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 2, 64
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 5, 80
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\ProductsFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\RatingStars.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\components\ToggleTheme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\contexts\CartContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 5, 71
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\contexts\ProductContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 7, 7, 100
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 174, 0, 0, 5, 10, 189
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\hooks\useTheme.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 6, 44
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 1, 4, 47
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\client\src\pages\CEPInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 2, 3, 44
